Make,Model,Price,Year,Ran,Engine Type,Transmission,Location,Province,Seller,Title
fiat,doblo,18500,2005 ,199313.0,Diesel ,Handgeschakeld ,Gennep,Limburg,I Boumans,fiat doblo cargo 1.9 jtd grijs kenteken bestelbus caddy.
ford,ranger,22600,2017 ,107195.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH Vans,ford ranger open-laadbak 2.2tdci 160pk dubbele cabine 4x4
aixam,roadline,6950,2008 ,47108.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk,aixam roadline -2008- incl. 3 mnd garantie + onderhoudsbeurt
mercedes,sprinter,32900,2018 ,148939.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,mercedes-benz sprinter 314cdi 143pk l2h2 koelwagen 0°c euro
opel,corsa,18500,2021 ,26200.0,Benzine ,Automaat ,Amsterdam,Noord-Holland,Adam,opel corsa 1.2 turbo start/stop 100pk aut 2021 wit
volkswagen,golf,6499,2010 ,206344.0,Benzine ,Handgeschakeld ,Almere,Flevoland,Autoservice Almere,volkswagen golf 1.2 tsi highl. bluem | pdc v+a | clima | 2e
volkswagen,golf,11950,2015 ,145000.0,Benzine ,Handgeschakeld ,'s-Gravenhage,Zuid-Holland,M.B.,volkswagen golf 1.2 tsi lounge 5d 2015 grijs - pano/stoelv/
ford,focus,10500,2008 ,142000.0,Benzine ,Handgeschakeld ,Hoeven,Noord-Brabant,Armin,ford focus st 2.5 turbo 270pk leer recaro interieur..!!
fiat,doblo,500,2005 ,199313.0,Diesel ,Handgeschakeld ,Gennep,Limburg,I Boumans,fiat doblo cargo 1.9 jtd grijs kenteken bestelbus caddy.
volkswagen,t3,8750,1987 ,78000.0,Benzine ,Handgeschakeld ,Ede,Gelderland,Jochem,"volkswagen t3 enka ‘87, air cooled 1600, airride, patina rat look"
ford,ranger,22600,2017 ,107195.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH Vans,ford ranger open-laadbak 2.2tdci 160pk dubbele cabine 4x4
audi,a1,9945,2012 ,195039.0,Benzine ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,audi a1 1.4 tfsi pro line s | leer | navi | xenon | autom. a
aixam,roadline,6950,2008 ,47108.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk,aixam roadline -2008- incl. 3 mnd garantie + onderhoudsbeurt
volvo,v60,8445,2011 ,233719.0,Diesel ,Automaat ,Schoonebeek,Drenthe,Auto Hoff,volvo v60 2.0 d3 momentum automaat | navi | xenon | keyless
audi,a3,6745,2011 ,227133.0,Diesel ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,audi a3 sportback 1.6 tdi attraction pro line | autom. airco
toyota,aygo,2745,2006 ,155674.0,Benzine ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,toyota aygo 1.0-12v + | airco | elekt. ramen | stuurbekracht
bmw,325i,16945,2012 ,169150.0,Benzine ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,bmw 3 serie touring 325i xdrive luxury line | leer | xenon |
aixam,coupe,9995,2018 ,40846.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk,mat grijze aixam coupe incl.3 mnd garantie + onderhoudsbeurt
mini,cooper,10745,2011 ,102672.0,Benzine ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,mini mini coupé 1.6 cooper s chili | leer | navi | xenon |
chevrolet,3100,25950,1954 ,74231.0,Benzine ,Handgeschakeld ,Geleen,Limburg,Paes Classics,chevrolet 3100 pick up 1954
audi,quattro,55900,2013 ,143900.0,Benzine ,Automaat ,Rotterdam,Zuid-Holland,ommer253,audi rs6 avant 4.0 tfsi quattro 560pk dynamic plus b&o pano
volkswagen,t1,45950,1964 ,90500.0,Benzine ,Handgeschakeld ,Geleen,Limburg,Paes Classics,volkswagen t1 splitwindow westfalia 1964 originele duitser
volkswagen,golf,3000,2002 ,155000.0,Benzine ,Automaat ,Heerenveen,Fryslân,Altahawi,volkswagen golf 2.0 85kw aut 2002 groen
