Title,Seller,Price,Location,Year,Ran,Engine Type,Transmission,province
Fiat Doblo Cargo 1.9 JTD Grijs Kenteken Bestelbus Caddy.,I Boumans,"18.500,-",Gennep,2005,199.313 km,Diesel ,Handgeschakeld ,Limburg
Ford Ranger Open-laadbak 2.2TDCI 160PK Dubbele Cabine 4x4,DUTCH Vans,"22.600,-",Barneveld,2017,107.195 km,Diesel ,Handgeschakeld ,Gelderland
Aixam Roadline -2008- incl. 3 mnd garantie + onderhoudsbeurt,Garage Kaal & Buunk,"6.950,-",Beek,2008,47.108 km,Diesel ,Automaat ,Limburg
Mercedes-Benz Sprinter 314CDI 143pk L2H2 Koelwagen 0°C Euro,Van der Wal Vans,"32.900,-",Langerak,2018,148.939 km,Diesel ,Handgeschakeld ,Drenthe
Opel Corsa 1.2 Turbo Start/stop 100pk Aut 2021 Wit,Adam,"18.500,-",Amsterdam,2021,26.200 km,Benzine ,Automaat ,Noord-Holland
Volkswagen Golf 1.2 TSI Highl. BlueM | PDC V+A | CLIMA | 2e,Autoservice Almere,"6.499,-",Almere,2010,206.344 km,Benzine ,Handgeschakeld ,Flevoland
Volkswagen Golf 1.2 TSI Lounge 5D 2015 Grijs - Pano/Stoelv/,M.B.,"11.950,-",'s-Gravenhage,2015,145.000 km,Benzine ,Handgeschakeld ,Zuid-Holland
Ford Focus ST 2.5 turbo 270pk LEER RECARO INTERIEUR..!!,Armin,"10.500,-",Hoeven,2008,142.000 km,Benzine ,Handgeschakeld ,Noord-Brabant
Fiat Doblo Cargo 1.9 JTD Grijs Kenteken Bestelbus Caddy.,I Boumans,"500,-",Gennep,2005,199.313 km,Diesel ,Handgeschakeld ,Limburg
"VW T3 Enka ‘87, Air Cooled 1600, airride, patina rat look",Jochem,"8.750,-",Ede,1987,78.000 km,Benzine ,Handgeschakeld ,Gelderland
Ford Ranger Open-laadbak 2.2TDCI 160PK Dubbele Cabine 4x4,DUTCH Vans,"22.600,-",Barneveld,2017,107.195 km,Diesel ,Handgeschakeld ,Gelderland
Audi A1 1.4 TFSI Pro Line S | Leer | Navi | Xenon | Autom. A,Auto Hoff,"9.945,-",Schoonebeek,2012,195.039 km,Benzine ,Handgeschakeld ,Drenthe
Aixam Roadline -2008- incl. 3 mnd garantie + onderhoudsbeurt,Garage Kaal & Buunk,"6.950,-",Beek,2008,47.108 km,Diesel ,Automaat ,Limburg
Volvo V60 2.0 D3 Momentum Automaat | Navi | Xenon | Keyless,Auto Hoff,"8.445,-",Schoonebeek,2011,233.719 km,Diesel ,Automaat ,Drenthe
Audi A3 Sportback 1.6 TDI Attraction Pro Line | Autom. Airco,Auto Hoff,"6.745,-",Schoonebeek,2011,227.133 km,Diesel ,Handgeschakeld ,Drenthe
Toyota Aygo 1.0-12V + | Airco | Elekt. Ramen | Stuurbekracht,Auto Hoff,"2.745,-",Schoonebeek,2006,155.674 km,Benzine ,Handgeschakeld ,Drenthe
BMW 3 Serie Touring 325i xDrive Luxury Line | Leer | Xenon |,Auto Hoff,"16.945,-",Schoonebeek,2012,169.150 km,Benzine ,Handgeschakeld ,Drenthe
Aixam | Microcar & Ligier Brommobielen | Verkoop & Onderhoud,De Minicar Specialist Zevenaar,"7.500,-",Zevenaar,2020,1.000 km,Diesel ,Automaat ,Gelderland
Aixam | Microcar & Ligier Brommobielen | Verkoop & Onderhoud,De Minicar Specialist Zevenaar,"7.500,-",Zevenaar,2020,1.000 km,Diesel ,Automaat ,Gelderland
